StarRating,Review,Keywords,Sentiment,Sentiment_Score
1,updated app go shop look product autoplays video every single product go click product may interested start blasting product video advised way turn unless also wanted stop autoplay amazon prime video mean watching show would autoplay next episode fail understand two would linked,"['updated', 'app', 'go', 'shop', 'look', 'product', 'autoplays', 'video', 'every', 'single', 'product', 'go', 'click', 'product', 'may', 'interested', 'start', 'blasting', 'product', 'video', 'advised', 'way', 'turn', 'unless', 'also', 'wanted', 'stop', 'autoplay', 'amazon', 'prime', 'video', 'mean', 'watching', 'show', 'would', 'autoplay', 'next', 'episode', 'fail', 'understand', 'two', 'would', 'linked']",Negative,-0.12678571428571428
3,wish app would work properly nothing seems want load keep freezing clicking thing touched phoneas left alone let load also keep exiting completely crashed definitely like take back home nov even update still issue close app reopen get work everytime click something want look buy cart image load blurry,"['wish', 'app', 'would', 'work', 'properly', 'nothing', 'seems', 'want', 'load', 'keep', 'freezing', 'clicking', 'thing', 'touched', 'phoneas', 'left', 'alone', 'let', 'load', 'also', 'keep', 'exiting', 'completely', 'crashed', 'definitely', 'like', 'take', 'back', 'home', 'nov', 'even', 'update', 'still', 'issue', 'close', 'app', 'reopen', 'get', 'work', 'everytime', 'click', 'something', 'want', 'look', 'buy', 'cart', 'image', 'load', 'blurry']",Postive,0.02
1,difficult find looking many unrelated result filter usually thing care many vendor especially chinabased one list innacurate misleading information account setting nightnare navigate even option search setting entering search term search bar setting screen return product result seem way choose preferred communication method,"['difficult', 'find', 'looking', 'many', 'unrelated', 'result', 'filter', 'usually', 'thing', 'care', 'many', 'vendor', 'especially', 'chinabased', 'one', 'list', 'innacurate', 'misleading', 'information', 'account', 'setting', 'nightnare', 'navigate', 'even', 'option', 'search', 'setting', 'entering', 'search', 'term', 'search', 'bar', 'setting', 'screen', 'return', 'product', 'result', 'seem', 'way', 'choose', 'preferred', 'communication', 'method']",Postive,0.05
3,hard find exactly looking sometimes excludes result reason heaven forbid try move something one list another delete something list everytime try app immediately stall quits working within minute never get thing deleted time good thing never issue order arrive within projected time website work well app extremely buggy,"['hard', 'find', 'exactly', 'looking', 'sometimes', 'excludes', 'result', 'reason', 'heaven', 'forbid', 'try', 'move', 'something', 'one', 'list', 'another', 'delete', 'something', 'list', 'everytime', 'try', 'app', 'immediately', 'stall', 'quits', 'working', 'within', 'minute', 'never', 'get', 'thing', 'deleted', 'time', 'good', 'thing', 'never', 'issue', 'order', 'arrive', 'within', 'projected', 'time', 'website', 'work', 'well', 'app', 'extremely', 'buggy']",Postive,0.1333333333333333
1,horrible algorithm know exactly search find want home page filled useless item crash load slow bug generally inconvenient also keep updating app look like every time get uglier inconvenient order page changed past order current combined mixed making order extremely hard visualize,"['horrible', 'algorithm', 'know', 'exactly', 'search', 'find', 'want', 'home', 'page', 'filled', 'useless', 'item', 'crash', 'load', 'slow', 'bug', 'generally', 'inconvenient', 'also', 'keep', 'updating', 'app', 'look', 'like', 'every', 'time', 'get', 'uglier', 'inconvenient', 'order', 'page', 'changed', 'past', 'order', 'current', 'combined', 'mixed', 'making', 'order', 'extremely', 'hard', 'visualize']",Negative,-0.2628787878787879
1,stale app sadly support dark mode search poor showing many irrelevant result order history shortened month complete history full history scroll helpful finding item reorder see item purchased warranty filter year cannot remember year much difficult search le useful handling missing order suck november improvement,"['stale', 'app', 'sadly', 'support', 'dark', 'mode', 'search', 'poor', 'showing', 'many', 'irrelevant', 'result', 'order', 'history', 'shortened', 'month', 'complete', 'history', 'full', 'history', 'scroll', 'helpful', 'finding', 'item', 'reorder', 'see', 'item', 'purchased', 'warranty', 'filter', 'year', 'cannot', 'remember', 'year', 'much', 'difficult', 'search', 'le', 'useful', 'handling', 'missing', 'order', 'suck', 'november', 'improvement']",Negative,-0.13636363636363633
2,wish list feature almost unusable month near impossible scroll list constantly snapping back top editing comment priority actually impossible almost always end app crashing store entirely web based pretty embarrassing,"['wish', 'list', 'feature', 'almost', 'unusable', 'month', 'near', 'impossible', 'scroll', 'list', 'constantly', 'snapping', 'back', 'top', 'editing', 'comment', 'priority', 'actually', 'impossible', 'almost', 'always', 'end', 'app', 'crashing', 'store', 'entirely', 'web', 'based', 'pretty', 'embarrassing']",Negative,-0.06041666666666666
2,useful broken order screen load majority time get stuck frozen make reordering item handling return checking order status sharing product link much difficult broken month reported bug previously response place many order people probably may problem fyi workaround go buy search order,"['useful', 'broken', 'order', 'screen', 'load', 'majority', 'time', 'get', 'stuck', 'frozen', 'make', 'reordering', 'item', 'handling', 'return', 'checking', 'order', 'status', 'sharing', 'product', 'link', 'much', 'difficult', 'broken', 'month', 'reported', 'bug', 'previously', 'response', 'place', 'many', 'order', 'people', 'probably', 'may', 'problem', 'fyi', 'workaround', 'go', 'buy', 'search', 'order']",Negative,-0.11111111111111112
1,since new update asked repeatedly small time frame verify bot completely glitch even verify viewingtapping anything n editing wishlists lead something went wrong end message next minute app impossible use constant error message saving wishlist glitchy misclicks click item even screen slow response tapping add list uninstalling notice,"['since', 'new', 'update', 'asked', 'repeatedly', 'small', 'time', 'frame', 'verify', 'bot', 'completely', 'glitch', 'even', 'verify', 'viewingtapping', 'anything', 'n', 'editing', 'wishlists', 'lead', 'something', 'went', 'wrong', 'end', 'message', 'next', 'minute', 'app', 'impossible', 'use', 'constant', 'error', 'message', 'saving', 'wishlist', 'glitchy', 'misclicks', 'click', 'item', 'even', 'screen', 'slow', 'response', 'tapping', 'add', 'list', 'uninstalling', 'notice']",Negative,-0.18503787878787878
1,horrible algo filter result unrelated filter even work apply filter price range show product higher lower filter suck make hard navigate look desired product understand amazon cannot work feature make smooth useful user,"['horrible', 'algo', 'filter', 'result', 'unrelated', 'filter', 'even', 'work', 'apply', 'filter', 'price', 'range', 'show', 'product', 'higher', 'lower', 'filter', 'suck', 'make', 'hard', 'navigate', 'look', 'desired', 'product', 'understand', 'amazon', 'cannot', 'work', 'feature', 'make', 'smooth', 'useful', 'user']",Negative,-0.06833333333333334
